audit_id,anonymous_student_id,session_log_id,session_date,raw_course_name,normalized_course_name,is_pure_makeup,moved_to_hour,risk_level,reason_code,has_test_payload,has_hw_payload,manual_review_status
AUD-0001,stu_****b277e234,3238,2026-08-19,"정규","정규",false,,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0002,stu_****b277e234,3234,2026-08-19,"정규","정규",false,16,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0003,stu_****b4c26179,3097,2026-08-14,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0004,stu_****316a36ec,2841,2026-08-10,"정규","정규",false,19,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0005,stu_****316a36ec,2880,2026-08-10,"정규","정규",false,,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0006,stu_****c3c43572,2783,2026-08-10,"정규","정규",false,16,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0007,stu_****c3c43572,2881,2026-08-10,"정규","정규",false,,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0008,stu_****b4c26179,2699,2026-08-07,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0009,stu_****4f606668,2711,2026-08-07,"정규","정규",false,,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0010,stu_****4f606668,2750,2026-08-07,"정규","정규",false,16,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0011,stu_****4f606668,2752,2026-08-07,"정규","정규",false,17,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0012,stu_****423183dd,2759,2026-08-07,"정규","정규",false,17,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0013,stu_****423183dd,2753,2026-08-07,"정규","정규",false,16,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0014,stu_****b4ca66ac,2685,2026-08-07,"정규","정규",false,,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0015,stu_****b4ca66ac,2751,2026-08-07,"정규","정규",false,19,HIGH,COLLIDING_NULL_COURSES,Y,Y,PENDING
AUD-0016,stu_****ea5ca66c,2478,2026-08-04,"방학특강","방학특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0017,stu_****7a46ca07,2180,2026-07-28,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0018,stu_****7e97cb95,2190,2026-07-28,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0019,stu_****aaff8e53,2184,2026-07-28,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0020,stu_****2ce55ef3,2183,2026-07-28,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0021,stu_****b04aa10e,2185,2026-07-28,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0022,stu_****2db73635,2192,2026-07-28,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0023,stu_****936852e9,2193,2026-07-28,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0024,stu_****ea5ca66c,2195,2026-07-28,"방학특강","방학특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0025,stu_****b04aa10e,2064,2026-07-24,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0026,stu_****7e97cb95,1930,2026-07-23,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0027,stu_****aaff8e53,1951,2026-07-23,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0028,stu_****936852e9,1952,2026-07-23,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0029,stu_****7a46ca07,1944,2026-07-23,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0030,stu_****81f637fe,1943,2026-07-23,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0031,stu_****2db73635,1950,2026-07-23,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0032,stu_****b04aa10e,1940,2026-07-23,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0033,stu_****2ce55ef3,1949,2026-07-23,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0034,stu_****7a46ca07,1818,2026-07-21,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0035,stu_****7e97cb95,1803,2026-07-21,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0036,stu_****2ce55ef3,1809,2026-07-21,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0037,stu_****936852e9,1819,2026-07-21,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0038,stu_****b04aa10e,1970,2026-07-21,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0039,stu_****2db73635,1811,2026-07-21,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0040,stu_****81f637fe,1816,2026-07-21,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0041,stu_****aaff8e53,1814,2026-07-21,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0042,stu_****ea5ca66c,1817,2026-07-21,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
AUD-0043,stu_****7e97cb95,1804,2026-07-16,"특강","특강",false,,MANUAL_REVIEW,COURSE_NOT_IN_CURRENT_PROFILE,Y,Y,PENDING
